from,to,const,,,,,,,,,,,,
% Hybrid vehicles (GWh / thousand cars),,,,,,,,,,,,,,
ttSDND,DD05,0.00001665,,,,,,,,,,,,
ttSDNE,DD05,0.000008325,,,,,,,,,,,,
ttWYNE,DD12,0.000008325,,,,,,,,,,,,
ttWYNE,DD05,0.000008325,,,,,,,,,,,,
ttVTNH,DD07,0.00001665,,,,,,,,,,,,
ttNYNJ,DD06,0.000008325,,,,,,,,,,,,
ttNYNJ,DD03,0.000008325,,,,,,,,,,,,
ttPANJ,DD03,0.00001665,,,,,,,,,,,,
ttTXNM,DD12,0.000008325,,,,,,,,,,,,
ttTXNM,DD02,0.000008325,,,,,,,,,,,,
ttORNV,DD11,0.00001665,,,,,,,,,,,,
ttUTNV,DD11,0.00001665,,,,,,,,,,,,
ttPANY,DD06,0.000008325,,,,,,,,,,,,
ttPANY,DD03,0.000008325,,,,,,,,,,,,
ttVTNY,DD07,0.000008325,,,,,,,,,,,,
ttVTNY,DD06,0.000008325,,,,,,,,,,,,
ttPAOH,DD03,0.000008325,,,,,,,,,,,,
ttPAOH,DD01,0.000008325,,,,,,,,,,,,
ttWVOH,DD01,0.00001665,,,,,,,,,,,,
ttTXOK,DD10,0.000008325,,,,,,,,,,,,
ttTXOK,DD02,0.000008325,,,,,,,,,,,,
ttWAOR,DD11,0.00001665,,,,,,,,,,,,
ttWVPA,DD03,0.000008325,,,,,,,,,,,,
ttWVPA,DD01,0.000008325,,,,,,,,,,,,
ttWYSD,DD12,0.000008325,,,,,,,,,,,,
ttWYSD,DD05,0.000008325,,,,,,,,,,,,
ttVATN,DD09,0.00001665,,,,,,,,,,,,
ttWYUT,DD12,0.000008325,,,,,,,,,,,,
ttWYUT,DD11,0.000008325,,,,,,,,,,,,
ttWVVA,DD09,0.000008325,,,,,,,,,,,,
ttWVVA,DD01,0.000008325,,,,,,,,,,,,
% Diesel truck (MM gallon/ vehicle mile),,,,,,,,,,,,,,
kkALFL,DD08,8.45E-08,,,,,,,,,,,,
kkALFL,DD09,8.45E-08,,,,,,,,,,,,
kkALGA,DD09,0.000000169,,,,,,,,,,,,
kkALMS,DD09,0.000000169,,,,,,,,,,,,
kkALTN,DD09,0.000000169,,,,,,,,,,,,
kkARLA,DD10,0.000000169,,,,,,,,,,,,
kkARMO,DD10,0.000000169,,,,,,,,,,,,
kkAROK,DD10,0.000000169,,,,,,,,,,,,
kkARTN,DD09,8.45E-08,,,,,,,,,,,,
kkARTN,DD10,8.45E-08,,,,,,,,,,,,
kkARTX,DD02,8.45E-08,,,,,,,,,,,,
