code,const,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40
CP,X % Coal production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP,X % Natural gas production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Natural gas demand (MMcf),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5TALMS,,,,,,,,,,,,,,26415.28,26486.502,26557.724,26628.946,26700.168,26771.39,26904.982,27038.574,27172.166,27305.758,27439.35,27695.624,27951.898,28208.172,28464.446,28720.72,29122.978,29525.236,29927.494,30329.752,30732.01,31107.722,31483.434,31859.146,32234.858,32610.57,32565.41865,32520.26729,32475.11594,32429.96459,32384.81323,32550.09356,32715.37388,32880.6542,33045.93453,33211.21485,33376.49517,33541.7755,33707.05582,33872.33614
5TALTN,,,,,,,,,,,,,,11154.66,11250.412,11346.164,11441.916,11537.668,11633.42,11722.016,11810.612,11899.208,11987.804,12076.4,12197.462,12318.524,12439.586,12560.648,12681.71,12825.066,12968.422,13111.778,13255.134,13398.49,13596.018,13793.546,13991.074,14188.602,14386.13,14246.3718,14106.6136,13966.8554,13827.0972,13687.339,13716.2239,13745.1088,13773.9937,13802.87861,13831.76351,13860.64841,13889.53331,13918.41821,13947.30311
5TARLA,,,,,,,,,,,,,,14417.52,14636.202,14854.884,15073.566,15292.248,15510.93,15746.662,15982.394,16218.126,16453.858,16689.59,16986.73,17283.87,17581.01,17878.15,18175.29,18495.44,18815.59,19135.74,19455.89,19776.04,20094.98,20413.92,20732.86,21051.8,21370.74,21016.19803,20661.65606,20307.11409,19952.57212,19598.03015,19580.22916,19562.42818,19544.62719,19526.82621,19509.02522,19491.22424,19473.42325,19455.62226,19437.82128
5TARMO,,,,,,,,,,,,,,15365,15410.94,15456.88,15502.82,15548.76,15594.7,15662.646,15730.592,15798.538,15866.484,15934.43,15981.126,16027.822,16074.518,16121.214,16167.91,16261.604,16355.298,16448.992,16542.686,16636.38,16795.742,16955.104,17114.466,17273.828,17433.19,17250.39243,17067.59485,16884.79728,16701.9997,16519.20213,16507.48434,16495.76656,16484.04877,16472.33098,16460.6132,16448.89541,16437.17762,16425.45983,16413.74205
5TAROK,,,,,,,,,,,,,,10180.58,10254.764,10328.948,10403.132,10477.316,10551.5,10639.38,10727.26,10815.14,10903.02,10990.9,11108.86,11226.82,11344.78,11462.74,11580.7,11726.04,11871.38,12016.72,12162.06,12307.4,12465.462,12623.524,12781.586,12939.648,13097.71,13062.09903,13026.48806,12990.87708,12955.26611,12919.65514,12980.88065,13042.10617,13103.33168,13164.5572,13225.78271,13287.00823,13348.23374,13409.45925,13470.68477
5TARTN,,,,,,,,,,,,,,63857.18,65223.632,66590.084,67956.536,69322.988,70689.44,73205.6,75721.76,78237.92,80754.08,83270.24,86109.958,88949.676,91789.394,94629.112,97468.83,100865.084,104261.338,107657.592,111053.846,114450.1,118234.078,122018.056,125802.034,129586.012,133369.99,132533.2186,131696.4472,130859.6758,130022.9043,129186.1329,130659.7362,132133.3395,133606.9428,135080.5461,136554.1494,138027.7527,139501.356,140974.9593,142448.5626
5TARTX,,,,,,,,,,,,,,5831.05,5872.85,5914.65,5956.45,5998.25,6040.05,6035.37,6030.69,6026.01,6021.33,6016.65,6038.788,6060.926,6083.064,6105.202,6127.34,6165.576,6203.812,6242.048,6280.284,6318.52,6386.458,6454.396,6522.334,6590.272,6658.21,6613.556875,6568.903749,6524.250624,6479.597499,6434.944373,6446.586811,6458.229248,6469.871685,6481.514123,6493.15656,6504.798997,6516.441435,6528.083872,6539.726309
5TAZCA,,,,,,,,,,,,,,15477.16,15595.104,15713.048,15830.992,15948.936,16066.88,16173.152,16279.424,16385.696,16491.968,16598.24,16959.57,17320.9,17682.23,18043.56,18404.89,18838.088,19271.286,19704.484,20137.682,20570.88,20928.862,21286.844,21644.826,22002.808,22360.79,22323.00751,22285.22501,22247.44252,22209.66002,22171.87753,22331.97728,22492.07704,22652.17679,22812.27654,22972.3763,23132.47605,23292.5758,23452.67556,23612.77531
5TAZNM,,,,,,,,,,,,,,16012.22,16588.604,17164.988,17741.372,18317.756,18894.14,19590.556,20286.972,20983.388,21679.804,22376.22,23263.938,24151.656,25039.374,25927.092,26814.81,27957.19,29099.57,30241.95,31384.33,32526.71,33755.9,34985.09,36214.28,37443.47,38672.66,38329.71876,37986.77751,37643.83627,37300.89502,36957.95378,37401.07815,37844.20253,38287.32691,38730.45129,39173.57566,39616.70004,40059.82442,40502.9488,40946.07317
5TAZNV,,,,,,,,,,,,,,40536.5,40724.616,40912.732,41100.848,41288.964,41477.08,41385.358,41293.636,41201.914,41110.192,41018.47,41530.92,42043.37,42555.82,43068.27,43580.72,44182.112,44783.504,45384.896,45986.288,46587.68,47255.428,47923.176,48590.924,49258.672,49926.42,49788.08964,49649.75928,49511.42891,49373.09855,49234.76819,49499.47701,49764.18583,50028.89465,50293.60347,50558.31229,50823.0211,51087.72992,51352.43874,51617.14756
